CD8T	0	1	1.10789778130254
CD8T	1	2	1.31302216001356
CD8T	2	3	1.4456585026411
CD8T	388	389	2.27715511325224
CD8T	389	390	1.45163986525757
CD8T	392	393	1.29503218070507
CD8T	393	394	1.56250123311979
CD8T	1312	1313	1.01588412103959
CD8T	1313	1314	1.46352290402174
CD8T	1315	1316	1.9441978198698
CD8T	1316	1317	1.26431044092014
CD8T	1317	1318	1.1011520574441
CD8T	1318	1319	1.50793908316206
CD8T	3244	3245	1.53023331405927
CD8T	3246	3247	1.33840041969542
CD8T	4061	4062	1.12587051650625
CD8T	4062	4063	1.01085378292299
CD8T	4377	4378	1.40977087421791
CD8T	4626	4627	1.23570701022405
CD8T	5017	5018	1.39134050249977
CD4T	276	277	1.19085763552516
CD4T	279	280	1.57910175768955
CD4T	280	281	1.11832740717128
CD4T	281	282	1.42540873735213
CD4T	282	283	1.08363958972953
CD4T	1306	1307	2.27951397209273
CD4T	1307	1308	1.43435353110473
CD4T	1309	1310	2.06202170913668
CD4T	1310	1311	1.04965501064734
CD4T	1312	1313	1.94436887691552
CD4T	1313	1314	1.00127986348302
CD4T	1321	1322	1.59331490451863
CD4T	1322	1323	1.16382499341553
CD4T	1323	1324	1.36384631639314
CD4T	1324	1325	2.12261371354504
CD4T	1325	1326	1.04449390053757
CD4T	1326	1327	1.92595008179954
CD4T	1327	1328	1.11267417532469
CD4T	1328	1329	1.51454623319802
CD4T	4547	4548	2.49259563078473
CD4T	4872	4873	1.22524564591618
CD4T	4873	4874	1.96158689484348
CD4T	4874	4875	1.16443112276236
CD4T	4875	4876	1.33036273056308
CD4T	4876	4877	2.15431141863232
CD4T	4877	4878	1.70152379705483
CD4T	5549	5550	1.42110397247588
CD4T	5550	5551	1.21116048941744
CD4T	5552	5553	1.14260601989912
CD4T	5553	5554	1.11874354523303
CD4T	5555	5556	1.00620724918988
CD4T	6418	6419	1.30278459261035
CD4T	6690	6691	1.52136219135583
CD4T	6692	6693	2.01291228114764
CD4T	6693	6694	1.57971339318672
CD4T	7320	7321	1.3830034082619
CD4T	7321	7322	1.11089480237035
CD4T	7791	7792	1.82720448804516
CD4T	7792	7793	1.10316627457219
CD4T	7793	7794	1.49278393904348
CD4T	7795	7796	3.17142692617226
CD4T	7797	7798	1.44789475143138
CD4T	7800	7801	1.19229404163186
NK	0	1	1.27591510456597
NK	1	2	1.81980107206879
NK	143	144	1.63288411833355
B	0	1	1.21398171920326
B	1	2	2.21532380538946
B	2	3	1.53707526384671
B	3	4	1.06560258711581
B	5	6	1.43277268444583
B	638	639	1.20327325900185
B	639	640	1.22771431328474
B	642	643	1.37456010096751
B	643	644	1.32974901546006
B	644	645	1.12292378377019
B	645	646	1.32709704431859
B	646	647	1.07453825681622
B	2072	2073	1.01375359339477
B	2075	2076	1.26449277906455
B	2912	2913	1.38479623349887
B	2913	2914	1.12041151701069
B	2915	2916	1.41848813100786
B	2917	2918	1.66408175185499
B	2918	2919	3.29917194806256
B	2919	2920	1.186887792441
B	4499	4500	1.04844979707599
B	4500	4501	1.02910541048775
B	5243	5244	1.40650477256798
B	5244	5245	1.07251030037095
B	5519	5520	1.15347836875405
B	5855	5856	1.27424255217057
Macrophage	87	88	1.04057037784677
Macrophage	88	89	1.40953699762249
Macrophage	91	92	1.10654137200533
Macrophage	250	251	1.04057037784677
Macrophage	346	347	2.0944307058046
Macrophage	347	348	1.01627764649413
Macrophage	475	476	1.15169973201894
Macrophage	610	611	1.46710677326493
DC	0	1	1.11611375288214
DC	32	33	1.03045586938594
DC	208	209	1.04539010973865
DC	209	210	2.14888356843111
DC	210	211	2.54092053314858
DC	211	212	1.99265666308361
DC	212	213	2.19085005375878
DC	213	214	2.09326603642859
DC	214	215	1.29986509867773
DC	215	216	4.14764385689734
DC	216	217	2.27454215201301
DC	217	218	1.13631997286323
DC	218	219	3.5119093150686
DC	219	220	1.70593547338393
DC	220	221	2.02627227173694
DC	221	222	1.18111840784929
DC	222	223	2.17573841232535
DC	224	225	2.90021534331773
DC	225	226	1.79040658477656
DC	226	227	1.31272427747955
DC	227	228	1.64559632969763
DC	228	229	3.29113029694726
DC	229	230	2.80664580480633
DC	230	231	2.84772056203589
DC	231	232	2.79414978947626
DC	232	233	1.50046667790603
DC	233	234	1.99033792994815
DC	234	235	1.86956329118445
DC	235	236	3.53229977776342
DC	236	237	2.15727126523788
DC	237	238	3.48150948391528
DC	238	239	3.48684000880456
DC	239	240	4.32546098211343
DC	240	241	2.58348664558716
DC	241	242	3.64928950444424
DC	242	243	2.15686632295795
DC	243	244	3.64722360946484
DC	244	245	1.82632954847501
DC	245	246	4.410772835431
DC	246	247	3.3293244974682
DC	248	249	2.80565677191277
DC	249	250	5.33421853577828
DC	250	251	2.05082378347689
DC	251	252	2.44428325701908
DC	252	253	2.3910811149715
DC	253	254	1.57574788905112
DC	254	255	3.37492230094696
Mast	0	1	1.20851858622415
EC	41	42	1.90035706071708
EC	164	165	1.31541077985883
EC	165	166	1.03879754512904
EC	217	218	1.35673844238053
EC	219	220	1.63089866128181
Fb	93	94	2.08418534820314
Fb	94	95	1.88764684472623
Fb	115	116	2.24282138311356
Fb	116	117	2.65005975645336
Fb	117	118	2.43349172679325
Fb	118	119	3.57240395426338
Fb	119	120	2.4178595046551
Fb	121	122	4.18293187917735
Fb	122	123	2.71894437346008
Fb	123	124	3.96001239165626
Fb	124	125	1.00106208035756
Fb	125	126	3.60182205673727
Fb	126	127	3.2070017206047
Fb	127	128	3.18656836091505
Fb	128	129	5.82061297280979
Fb	129	130	2.2125059464312
Fb	191	192	4.82953454016022
Fb	192	193	4.36756385112065
Fb	193	194	4.14490777650142
Fb	195	196	3.27065530991777
Fb	197	198	6.11339888611263
Fb	198	199	4.18689562221039
Fb	199	200	4.88176881656145
Fb	200	201	4.47412700443668
Fb	201	202	1.57696549954871
Fb	202	203	3.95085222245754
Fb	203	204	1.87955995653679
Fb	204	205	2.64713360460587
Fb	246	247	1.73493054468269
Fb	281	282	3.11051940821372
Fb	282	283	4.39614374721082
Fb	283	284	3.53606613457362
Fb	284	285	1.77691506007952
Fb	285	286	1.03174237897755
Fb	286	287	1.54129242089049
